id,reactant_smiles,product_smiles,likelihood
402,C.Cl.N.O,Br.C.C.C.O,0.54
403,C.Cl.Cl.Cl.O.O.O.O,Br.C.C.C.C.Cl.Cl.Cl.O,0.84
404,C.C.Cl.F.F,C.F,0.53
405,C.Cl.F.F.N.N.O.O.O,C.Cl.Cl.O,0.84
406,Br.C.F.F.N.N,Br.Br.Br.C.C.Cl.F.N.N.O,0.57
407,Br.Br.Br.C.C.Cl.F.O,Br.C.Cl.N.O,0.83
408,Br.Br.C.Cl.Cl.F.F.N.O,Br.C.Cl.Cl.F.O.O,0.55
409,C.F.N.N,C.C.F.O.O,0.51
410,Br.C.F.F.F.N,C.N,0.67
411,C.F,Br.C.Cl.F,0.77
412,Br.C,Br.Br.C.C.Cl.Cl.F.O.O.O,0.66
413,C.C.C.C.F,Br.C.Cl.F.N.N.O,0.55
414,C.C.C.Cl.Cl.F.F.F.N.N,Br.C.C.F.F.O.O,0.64
415,C.Cl.F.F.N.N.N.N.O.O,Br.C.C.Cl.F.N.N.O,0.69
416,Br.Br.C.Cl.Cl.Cl.F.N.O.O,Br.Br.Br.C.Cl.N.N.O.O,0.57
417,Br.Br.Br.C.N.N,C.C.Cl.Cl.Cl.F.F.N.N,0.96
418,C.C.C.F.N,Br.C.C.Cl.F.F.F.F.O,0.58
419,C.N,Br.C.C.Cl.F.O,0.76
420,C.C.Cl.F.N,C.C.Cl.F.N,0.72
421,Br.C.C.Cl.Cl.F.F.N.N.N,Br.C.C.C.C.F.N.O.O.O,0.73
422,Br.Br.C.C.F.O.O.O.O,Br.Br.C.F.F.N.N.O.O,0.91
423,C.C.C.C.C.C.C.Cl.Cl.F,C.C.O,0.96
424,C.C.C.C.C.Cl.F.F.F.N,Br.C.C.Cl.F.N.O.O.O.O,0.83
425,Br.Br.Br.Br.C.C.Cl.Cl.O,C.N.N,0.71
426,Br.Br.Br.C.C.Cl.Cl.Cl.O.O,Br.Br.Br.C.C.Cl.Cl.F.N,0.86
427,Br.Br.C.Cl.O,Br.Br.C.N.N,0.79
428,Br.C.C.C.C.C.Cl.N.O.O,Br.C.F.O,0.7
429,Br.Br.C.C.F.F.N,C.F.N.O,0.83
430,Br.Br.C.Cl.N,C.C.N,0.7
431,Br.C.C.Cl.N.O.O.O,Br.Br.C.C.F.N.N,0.73
432,Br.Br.Br.C.C.C.F.O.O.O,C.F.F.N.N.O.O,0.96
433,Br.C.C.Cl.Cl.N,C.C.Cl.Cl.N,0.86
434,Br.C.C.C.C.Cl.Cl.O.O.O,Br.C.O.O,1.0
435,Br.C.Cl.N.N.O.O.O,C.Cl.N.O,0.64
436,C.Cl.N,Br.C,0.97
437,Br.Br.Br.C.C.C.Cl.F.N,Br.C.C.F.N.N.N.O.O,0.61
438,Br.C.C.C.C.Cl.F.F.N.O,C.C.C.F.F.N.O.O.O,0.53
439,C.C.F.O,Br.C.C.C.Cl.Cl.F.O.O,0.59
440,C.C.F.N.N.O.O.O,C.F.O,1.0
441,Br.C.C.Cl.Cl.N,Br.C.Cl.N,0.96
442,C.C.C.Cl.F.F.F.N,Br.C.F,0.85
443,Br.Br.C.C.Cl.Cl.F.F.N.O,Br.Br.C.Cl.N.O.O,0.64
444,C.O.O,C.C.Cl.N.N.N.O,0.68
445,Br.C.C.F.F.N.N.O,Br.C.C.Cl.N.N.N.O,0.69
446,C.C.C.C.Cl.Cl.N.N,C.F.F.F.N,0.53
447,Br.C.C.C.Cl.F.F.N.O.O,Br.C.N.N.O,0.69
448,Br.C.C.C.Cl.F.O,Br.C.F,0.99
449,C.Cl,C.Cl.Cl.N.N.O,0.81
450,Br.Br.C.Cl.F.F.F.N.O,Br.Br.C.C.Cl.F.N.O.O,0.82
451,C.C.Cl.N.N,C.Cl.F,0.73
452,C.Cl.Cl.O.O,C.F.O.O,0.63
453,C.C.Cl.F.F.N,C.N.O,0.94
454,Br.C.C.C.Cl.N.N.O.O,C.F,0.71
455,Br.C.C.C.C.Cl.F.F.N,C.C.N.O,0.99
456,C.C.O.O,Br.C.O,0.53
457,Br.Br.Br.C.C.Cl.Cl.N.O,Br.C.C.Cl.F.F.F.O,0.58
458,Br.C.C.Cl.F.F.O,C.C.Cl.Cl.N.O,0.69
459,C.C.C.Cl,Br.Br.C,0.65
460,Br.Br.C.N,Br.Br.C.Cl.O,0.53
461,Br.C.C.Cl.F.F.N,C.C.F.N.N.N.O,0.8
462,Br.C.C.Cl,Br.C.C.C.Cl.Cl.N.N.O,0.6
463,C.C.Cl.Cl.Cl.F,Br.C.Cl.N.N.N.N.N.O,0.8
464,Br.C.C.C.C.Cl.Cl.N,Br.C.C.C.Cl.F.O.O.O,0.97
465,Br.Br.C.O,Br.Br.C.C.C.Cl.Cl,0.6
466,Br.C.C.C.C.C.Cl.Cl.F.O,Br.C.C.Cl.F.N.N.O.O,0.68
467,Br.C.N,C.C.Cl.F,0.67
468,C.Cl.Cl.N.N.N,C.Cl.Cl.F.F,0.88
469,Br.C.Cl.Cl.Cl.N.O.O.O,C.C.C.Cl.F.N.N.O,0.63
470,Br.C.Cl,Br.Br.C.C.Cl.N.N.N.O.O,0.51
471,Br.C.C.Cl.F.F.N.N.N,Br.C.C.Cl.F.F.F.N.N,0.53
472,C.Cl.Cl.F.N.O,C.C,0.88
473,Br.C.F.O.O,Br.C.Cl.Cl.Cl.F.F.N.O.O,0.68
474,C.F.F.O,Br.Br.Br.C.C.C.C.C.O,0.98
475,Br.C.Cl.Cl.N,Br.C.C.F.O,0.53
476,C.C.Cl.F.F.N,Br.C.C.N,0.68
477,Br.C.C.Cl.Cl.N.O.O.O,Br.C.N.N.O,0.74
478,Br.Br.C.C.C.Cl.Cl.O,Br.C.C.Cl.O,0.58
479,C.O,Br.Br.C.Cl.Cl.N.O.O.O.O,0.77
480,C.O,Br.C.F.N.O,0.9
481,Br.Br.C.C.Cl.Cl.Cl.F.N.N,Br.C,0.87
482,C.F.F.N.N.O.O,Br.Br.C.Cl.F.N.O.O.O,0.59
483,Br.Br.C.C.C.C.Cl.F.N.O,Br.C.C.C.Cl.Cl.F.O.O,0.88
484,C.C.F,C.C.F.N,0.99
485,Br.C.C.O,Br.C.C.C.C.C.F.F.O.O,0.72
486,Br.C.C.F.N.N.O,C.F,0.69
487,C.Cl,C.C.Cl.F.N.N.N,0.62
488,Br.Br.C.C.Cl.N,Br.C.F.N.O,0.89
489,C.Cl.F,C.C.F.N,0.54
490,C.F.N.O.O.O,Br.C.Cl,0.67
491,Br.Br.C.N.O,C.C.Cl.F.N.N.N.O.O.O,0.83
492,Br.C.C.C.F.F.F.N.O.O,C.Cl,0.79
493,C.C.F.N,Br.Br.C.F,0.79
494,C.F.O,C.Cl.F,0.85
495,Br.C,C.N,0.9
496,Br.C.C.Cl.Cl.F.F.N.O.O,Br.Br.C.Cl.Cl.F.F,0.97
497,Br.Br.C.C.F.O.O,C.C.Cl.Cl.F.F.O,0.82
498,C.C,Br.Br.C.C.C.Cl.Cl.F.O.O,0.6
499,Br.C.F.F.O,C.C,0.88
500,C.C.Cl,C.F.F.F.N.N.O.O,0.66
501,C.Cl.N.O,C.C.C.Cl.F.N.O.O,0.54
502,C.C.Cl.F.N.O,Br.C.C.C.C.Cl.F.N.O,0.9
503,Br.C.Cl.F.N.O,C.N.N.N.N,0.67
504,Br.C.C.Cl.Cl.F.F.O.O,C.Cl.O,0.65
505,C.C.Cl.Cl.O.O.O.O,Br.C.C.C.C.Cl.Cl.Cl.F.O,0.65
506,C.O,C.Cl.F.N,0.98
507,C.N,C.Cl.F,0.69
508,C.F.F.N,Br.C.C.C.N.O.O,0.62
509,Br.C.Cl.O,Br.C.Cl.F.F.F.N.N,0.71
510,Br.C.C,C.O,0.56
511,C.Cl.Cl.N.N.N.O,C.C.O,0.84
512,Br.Br.C,C.O.O.O,0.95
513,Br.Br.Br.C.F.F.N.O,C.Cl.Cl,0.9
514,Br.Br.C,C.C.Cl.N.O,0.99
515,Br.C.Cl.Cl.F.F,C.Cl.Cl.O.O,0.86
516,C.Cl.F.O,Br.C.C.N,0.6
517,Br.C.C.C.Cl.F.N.O,Br.C.Cl.Cl.Cl.F.O.O,0.62
518,C.F.F.N.O.O,C.Cl,0.57
519,Br.C.C.F.F.N.N,C.C,0.78
520,C.F,Br.C.C.C.Cl.Cl.F,0.74
521,C.C.Cl.Cl.Cl.N,C.C.N,0.84
522,C.C.Cl.Cl.F,Br.Br.C.C.C.O.O.O.O,0.7
523,C.C.C.Cl.F.F,Br.Br.Br.Br.C.C.Cl.F.F.O,0.57
524,C.Cl.Cl.F.F.N.O,Br.C,0.89
525,Br.Br.C.C.F.F.N.N.O.O,Br.C.C.Cl.F.N,0.71
526,Br.Br.C.C.C.C.Cl.O.O,C.C,0.6
527,C.C.N.N,C.C.C.C.Cl.F.F.N.N.O,0.74
528,Br.Br.C.C.Cl.Cl,C.C,0.85
529,Br.C.F.N.N,Br.Br.C.C.C.Cl.F.N.O,0.67
530,Br.C.C.C.Cl.O.O,Br.Br.C.Cl.Cl.O,0.81
531,Br.C.C.N,Br.Br.C.C.C.Cl.O.O.O.O,0.94
532,C.C.Cl.F.F.O.O,Br.Br.Br.C.C.C.Cl.Cl.F.F,0.7
533,Br.C.Cl.N.O,Br.C.C.F,0.69
534,C.Cl.N.N,Br.C.C.C.C.Cl.Cl.N.O.O,0.65
535,Br.Br.Br.C.F,C.C.F.F.N.O.O.O.O,0.5
536,C.Cl.F.O.O,C.C.F,0.9
537,C.C.Cl.Cl.Cl.Cl.F,Br.C.C.Cl.F.F.N.N.O.O,0.56
538,Br.C.C.Cl.N.O.O,Br.C.Cl.Cl,0.62
539,C.Cl.Cl.Cl.F.N.N,C.C,0.91
540,C.N,C.Cl.Cl.Cl.Cl.N,0.63
541,Br.Br.Br.C.C.C.F.N,Br.C.Cl.Cl.Cl.F.N.N,0.57
542,C.F,C.C.C.F.F.N.N,0.98
543,C.C.F.F,Br.C.C.Cl,0.79
544,Br.C.N.O.O,C.C.Cl.F.N.O,0.69
545,Br.Br.C.C.Cl.Cl.N.N.O,Br.C.C.F.F.F.N.N.N.O,1.0
546,C.O,Br.C.C.C.F,0.6
547,C.C.F.F.O,C.C.N.N,0.83
548,C.C.N.O,C.C.C.F.N.O.O.O,0.93
549,Br.Br.C.C.C.C.O,Br.C,0.78
550,C.F.F.N.O,C.F.N.O.O,0.57
551,Br.C.C.Cl.O.O,Br.C.C.Cl.F.O,0.6
552,Br.Br.Br.C.C.C.F.O.O,C.C.Cl.F.O,1.0
553,C.Cl.F,C.C.N.N,0.96
554,Br.Br.C.C.N,Br.C.C.Cl.Cl.F.F.F.N,0.99
555,C.C.C.C.F.N.N.O,Br.C.O,0.96
556,Br.Br.C.C.F.N.N.O,Br.C.C.Cl.F.N.N.O.O,0.8
557,Br.C.Cl.Cl.O,Br.C.Cl.F.F.O.O,0.64
558,C.Cl.N.N,Br.Br.C.C.Cl,0.55
559,Br.Br.C.Cl.N,C.Cl.F,0.99
560,Br.C,C.F,0.99
561,Br.C.Cl.F.F.N.O.O,Br.C,0.89
562,C.C.F,Br.C.F.F.N,0.71
563,C.Cl.F.N.O,Br.Br.C.C.F.N.O.O,0.64
564,C.C.Cl.Cl.F.N.O,Br.Br.Br.Br.C.Cl.N.O,0.51
565,Br.C.C.F.F.O.O.O,C.C.C.Cl.F.N,0.75
566,C.C.C.Cl.F.N.O,C.N.O,0.65
567,Br.Br.Br.C.Cl.Cl.O.O,C.Cl.O.O,0.88
568,C.C.C.F,Br.Br.C.F,0.53
569,Br.C.C.Cl.Cl.Cl.F.N.N.N,C.Cl.F,0.66
570,Br.C.C.Cl.N.O.O.O,C.C.F,0.51
571,Br.C.C.Cl.F.F.N,Br.C.C.Cl.O.O,0.84
572,Br.C.C.C.Cl.N.N.N,Br.C.F.F.F.F.F.N.N.O,0.71
573,Br.Br.C.C.C.C.Cl.Cl.F.F,Br.C.N,0.58
574,C.C.Cl.Cl.N.O.O,Br.Br.Br.C.Cl.Cl.F.F.F.N,0.94
575,Br.Br.C.C.Cl.F.O.O.O.O,Br.C.C.F.F.F.N.N,0.73
576,Br.C.Cl.Cl.O,Br.C.C.Cl.F.N.O.O.O,0.58
577,Br.Br.Br.C.N.N,C.N,0.62
578,C.C.F.F.N.O.O.O.O,C.C.F,0.62
579,C.N,Br.Br.C.C.Cl.N.N.N,0.67
580,Br.C.C.Cl.F.F.N.N.N,Br.Br.C.C.Cl.N.N.O.O,0.92
581,C.N.O.O,Br.C.C.Cl.F.F.F.N.N.O,0.75
582,C.C.F.F.N.N,C.C.C.Cl.N.N.N.N.O,0.83
583,Br.Br.C.C.C.F.N.O,Br.Br.Br.C.C.C.C.Cl.N,0.9
584,C.N.O,C.C.F.F.F.N.N.O.O.O,0.63
585,Br.C.C.Cl.N.N.N.O.O,Br.Br.C.C.C.Cl.F.O,0.63
586,Br.C.C,C.Cl.Cl.O,0.53
587,C.F.N,C.C.O,0.66
588,Br.C.C.C.Cl.Cl.F.N,C.C.C.N,0.52
589,Br.C.C.C.C.F.N.O.O.O,C.C.Cl.F.F.F.O.O,0.77
590,C.Cl.F.N,Br.Br.Br.Br.C.C.C.C.N.O,0.66
591,C.Cl.Cl.F.F.N,C.F,0.56
592,C.C.C.Cl.Cl.Cl.N.N.O.O,C.C.Cl.Cl.F.N,0.82
593,Br.Br.Br.Br.C.F.N.O.O,Br.C.C.Cl.Cl.Cl.Cl.Cl.O.O,0.75
594,C.Cl.Cl.F.F.O,Br.C.N,0.98
595,C.C.C.C.C.F.F.F.F,Br.Br.C.C.N,0.54
596,Br.C.C.Cl.F.N.O.O,Br.Br.C.C.N,0.91
597,Br.C.C.C.C.C.C.N,C.C.Cl.Cl.F.F.O,0.78
598,Br.C.C.Cl.Cl.Cl.Cl.O,C.N,0.65
599,Br.Br.C.Cl.Cl.F.F.N.O.O,C.C,0.94
600,C.C.C.F.F.O.O.O.O.O,Br.C.C.C.F,0.67
601,Br.Br.C.Cl.F.F.N,Br.Br.Br.C.C.C.O,0.84
602,Br.C.N.N,C.F.N.O,0.81
603,Br.C.Cl.F.N.O.O.O,Br.C.C.Cl.N.N.N.O.O,0.94
604,Br.Br.Br.C.C.Cl.F.F.F.F,C.Cl.Cl,0.74
605,C.C.Cl.N.O,C.C,0.74
606,Br.Br.Br.C.F,C.C.C.F.N.N,0.7
607,C.F.N.N,C.Cl.N,0.73
608,C.C.C.N.N.N.N.O,Br.Br.C.C.C.C.F.O.O.O,0.58
609,C.Cl.F.F.N,C.C.C.C.F.F.N.O,0.87
610,Br.Br.Br.C.C.F.N.N,Br.Br.C.C.C.F.F.N.N.O,0.54
611,C.Cl.F.F.F.N.O,C.C.C.Cl.Cl.Cl.F.N,0.62
612,C.C.C.Cl.Cl.F.F.N.N.O,Br.C.Cl.F.F.F.F.N.O,0.85
613,C.C.Cl.F,C.N,0.77
614,Br.Br.Br.C.C.C.F.N,C.C.Cl.F.N.N.N.O.O,0.94
615,C.C.Cl.Cl.F.N.O,Br.C.C.C.F.F.F.F.N.N,0.69
616,Br.Br.C.F,C.F.F.N.O,0.64
617,C.O,Br.C,0.57
618,C.Cl.Cl.F.O.O,Br.C.C.Cl.F.F,0.83
619,Br.C.C.N,Br.C.F.F.F.N.N.O.O,0.94
620,C.F.N,Br.C.Cl,0.78
621,Br.C.C.Cl.F.F.O.O.O.O,C.C.C.Cl.F.F.N.N.O,0.66
622,C.Cl.F.N,C.F,0.63
623,Br.C,Br.C.C.C.Cl.Cl.F.O,0.69
624,C.F,Br.C.Cl.Cl,0.6
625,Br.C.C.C.Cl.N.N.O.O,Br.C.Cl.F,0.78
626,Br.Br.C.Cl.Cl.Cl.N.O,C.Cl.F,0.55
627,Br.C.C.F,Br.C.C.C.C.Cl.Cl,0.98
628,C.N.N.N.N,Br.C.N,0.55
629,C.N.O,C.C.Cl.Cl.O,0.52
630,Br.Br.C.C.F.N.O.O,Br.Br.C.C.C.C.Cl.Cl.N.N,0.77
631,C.F.N,C.C.Cl.F,0.52
632,Br.Br.C.C.N.O,C.C.Cl.Cl.Cl.F.N,0.84
633,Br.Br.Br.C.Cl.Cl.O.O,Br.Br.C.F.N,0.65
634,C.O,C.F,0.85
635,Br.C,Br.C.C.Cl.F.N.N.N.O.O,0.95
636,C.C.Cl.Cl.Cl.F.F.N.N.N,C.C.Cl.F.F.N.O.O.O,0.94
637,C.O,Br.C.Cl.F.F.N.O,0.59
638,C.C.C.F.N.N,C.C.C.Cl.F.F.O.O,0.64
639,Br.C.F.O,Br.Br.C.C.C.C.F.N.O.O,0.73
640,C.C.C.Cl.Cl.F.F.N.O,C.C,0.71
641,Br.C.C.Cl.Cl.N.N.N.O.O,Br.Br.Br.C.C.Cl.F.F.N.N,0.58
642,Br.C.F,C.C,0.73
643,C.N,Br.C.C.F.F.F.O.O.O,0.68
644,C.C.C.C.Cl.Cl.F,Br.C.C.C.Cl.Cl.O,0.93
645,Br.C.C.C.Cl.N.N.O.O.O,Br.C.C.Cl.F.F,0.55
646,Br.C.C.C,C.Cl.F.N.N,0.68
647,Br.Br.Br.Br.C.C.C.F.O,Br.C.C,0.55
648,C.F,Br.C.C.O,0.63
649,Br.Br.C.Cl.F.F,C.C.Cl.O,0.92
650,C.F,C.C.O,0.52
651,C.C.Cl.N.N.O.O,Br.C.F.N.N,0.57
652,Br.C.Cl.O.O,Br.Br.Br.Br.Br.C.C.F.N.O,0.9
653,C.F.N.O.O,C.F.F.O.O,0.98
654,Br.C.N.O.O,Br.C.C.C.Cl.Cl.F.O,0.89
655,Br.Br.C.C.F.O.O,C.C.Cl.Cl.Cl.O,0.8
656,C.F.N.O,Br.Br.C.C.F.N.N.N.O,0.88
657,Br.Br.C.C.Cl.F.F.F.N.O,C.Cl.F.F.F.F.N,0.83
658,C.C.C.Cl,C.C.C.N.N,0.68
659,Br.C.Cl.F.N.N.N.O.O,Br.C.Cl.Cl.F.N.O,0.81
660,C.C.C.C.Cl.O.O.O,Br.C.O,0.67
661,C.C.F.F.N.O,C.Cl.Cl.N,0.5
662,C.C.N,C.N,0.92
663,Br.C.C.Cl.F.F.N.O,C.F,0.84
664,Br.C.C.Cl.Cl.Cl.Cl.F.O,C.C.C.C.Cl.Cl.N.N,0.79
665,Br.C.Cl.Cl.F.O.O,Br.C.N.O,0.54
666,Br.Br.C.C.N.O.O,Br.C.C.F.N,0.57
667,C.Cl.F.F.F.N.N.N.O,Br.Br.Br.Br.C.C.C.Cl.F.O,0.87
668,Br.C.C.Cl.F.F.N.O.O,Br.C.Cl.Cl.F.N.N.O.O,0.81
669,Br.Br.C.Cl.N.O,C.C.F.O,0.87
670,Br.C.C.Cl.Cl.Cl,Br.C.Cl,0.96
671,C.C.C.F,Br.C.C.F.F.O,0.81
672,Br.C.C.C.Cl,C.F.F.O,0.77
673,C.N,C.O,0.89
674,C.C.Cl.F.F.O,Br.Br.Br.Br.C.Cl.N.O,0.99
675,Br.C.C.Cl.Cl.F.O,Br.Br.C.C.C.F,0.51
676,C.C.Cl.N,C.F.N.N,0.58
677,C.C.Cl,Br.C.Cl.F,0.93
678,C.C.N.N.O,C.C.C.N,0.69
679,C.F.N.N,C.C.C.Cl.N.N.O.O,0.76
680,C.Cl,Br.C.Cl.Cl.Cl.F.N.O,0.5
681,Br.C.C.F,Br.C.F.F.N,0.97
682,C.C.F.O.O,C.N,0.88
683,Br.Br.C.Cl.Cl.Cl.Cl.F.F,Br.C.Cl.F.F.N.N.N.O,0.96
684,Br.Br.C.F.N.O,C.C.F.F.F.N,0.87
685,C.C.C.Cl.O.O,C.C.Cl.Cl.F.F.F.N.N.O,0.7
686,Br.C.C.C.Cl.F.N.N,C.C.Cl.N,0.63
687,C.Cl.Cl.N.O.O.O,Br.C.C.F.F.F.N.N.O,0.94
688,Br.C.C.Cl.F,C.Cl.N,0.81
689,C.C.Cl.Cl.F.N.N,Br.Br.C.C.F.F.O,0.94
690,C.Cl.N.N,C.C.Cl.Cl.F.F.F.O,0.81
691,Br.C.C.C.C.Cl.F.F.N.O,C.C.C.F.N.O,0.72
692,C.Cl,Br.C.C.Cl.Cl.F.N.N.O,0.55
693,Br.C.C.C.C.Cl.Cl.O,Br.C.C.Cl.Cl,0.75
694,C.C.Cl,Br.C.C.Cl.O.O.O,0.7
695,C.N.O,Br.C.C.Cl.F.N.N.N.O.O,0.6
696,Br.C.C.C.F.O,Br.C.C.C.F,0.51
697,Br.C.Cl.F.N.O,C.C.F.N.O.O,0.58
698,C.C.C.Cl.Cl.Cl.F.N,Br.C.C.C.C.F.O.O.O.O,0.57
699,Br.Br.C.F.F.N.N.O.O,Br.C.C.Cl.Cl.N.O.O,0.96
700,C.N.O.O,Br.C.F,0.76
701,C.C.Cl.Cl.O,Br.Br.C.C.Cl.F.F.N,0.65
702,Br.C.C.Cl.Cl.F.N.O,C.C.C.Cl.F.N.O.O.O,0.63
703,Br.C,C.C.Cl.F.O,0.96
704,Br.C.C.N,C.C.C.Cl.Cl.Cl.F.N.O.O,0.82
705,Br.Br.C.C.C.Cl.F.F,C.C.F.N.O.O,0.66
706,Br.Br.C.Cl.Cl.Cl.N.N.N,Br.C.F.N,0.89
707,Br.C.C.C.C.Cl.F,Br.C.F.N,0.82
708,C.C.C.Cl.N.N.N.O,Br.Br.C.C.C.C.Cl.Cl.N.O,0.58
709,Br.Br.C.C.C.Cl.F.O,Br.C.Cl.N.O.O,0.93
710,C.C.C.F.F.F,Br.Br.Br.C.C.Cl.F.F.N.O,0.72
711,Br.C.N.N.O.O,C.Cl.N,0.71
712,Br.Br.Br.Br.C.C.C.Cl.N.O,Br.C.N,0.65
713,C.N.N,C.C.Cl.Cl.Cl.N.O,0.72
714,C.C.Cl.F.O.O,C.C,0.5
715,C.C.Cl.F.N.O.O,C.C.O,0.61
716,Br.C.C.C.N.O,Br.Br.C.Cl.O,0.72
717,C.O,Br.Br.C.C.C.Cl.F.O.O,0.9
718,Br.C.C.Cl.F.N.N.N,Br.C.C.C.Cl.F.N.N.O.O,0.96
719,C.Cl.F.F.N.N.O,C.O,0.74
720,C.N.O,Br.Br.Br.C.C.F.F.N.N,0.97
721,Br.C.C.C.C.Cl.Cl.F.N,Br.Br.Br.C,0.85
722,C.Cl,Br.C.C.F.F.F.N.O,0.84
723,C.C.N.O,Br.C.Cl.F.N.N.O.O,0.69
724,C.Cl,C.C.Cl.N.N.O,0.76
725,Br.C.F.F.N.O.O,Br.C.C.Cl.Cl.F.F.N.O,0.87
726,Br.C.C.Cl.Cl.Cl.F.F.F,C.C.F.N,0.93
727,Br.Br.C.C.Cl.Cl.N.N.N,Br.Br.C.C.Cl.N.N.O.O,0.6
728,Br.C.C.Cl.F.N.N.N.O,C.C.Cl.Cl.F.N.N.N.O,0.51
729,C.F,Br.Br.C.F.N.N.N,0.97
730,Br.C.N.O.O,Br.C.C.F.N.N,0.53
731,C.N,C.C.C.Cl.F.O,0.86
732,C.O,C.C.F,0.94
733,C.C.Cl.Cl.O,C.F.N,0.5
734,Br.Br.C.N.N,Br.Br.C.C.Cl.Cl.F.F.O,0.51
735,Br.Br.Br.C.Cl.Cl.F.O.O,Br.C.C.C.C.F.N.O,0.99
736,Br.C.O.O,Br.C.C,0.87
737,C.C.F.F.N,Br.C.F.F.O,0.94
738,Br.C.C.C.Cl.Cl,Br.C.C.C.C.N.N.O,0.96
739,C.C.N,C.C.C.Cl.F.N.N.O.O,0.63
740,C.Cl.O.O,C.F.O,0.54
741,C.Cl.F.N,C.C.Cl.Cl.F.O.O,0.97
742,Br.C.F.F.F.N.N.O,Br.C.Cl.F,0.97
743,C.C.Cl.Cl.F.F.F.O,C.C,0.86
744,Br.Br.Br.C.F.F.O,C.C.C.F.N.N,0.65
745,C.F,C.C.Cl.O,0.53
746,C.C.F,Br.C.Cl.Cl.O.O,0.82
747,C.F.O,Br.Br.Br.C.F,0.82
748,Br.C.Cl.F.N.N.N.O.O.O,Br.Br.C.Cl.N.O,0.86
749,C.C.C.C.Cl.F.F.O,Br.C.Cl.F.F.F.N.N,0.9
750,C.C.Cl.F.N.N.O.O,C.F.N.N.N.O,0.65
751,Br.C.Cl.F.N.N.N.N.O.O,C.C.C.Cl.F.N.N.O,0.59
752,C.C.C.N,Br.C.C.F.N.N.O.O.O.O,0.75
753,C.C.C.Cl.F.N.N.N.N.O,C.C.C.F.F.N.O.O,0.94
754,Br.C.C.Cl.F.N,Br.Br.C.C.N.O,0.78
755,C.C.Cl.N.N.O,Br.C.C.Cl.Cl.Cl.N.N.N.O,0.51
756,C.Cl.F.F.F,C.C.Cl.F.N.O,0.95
757,Br.C.C.O.O,Br.Br.C.C.C.Cl.Cl.F.F.O,0.84
758,Br.C.C.Cl.Cl.Cl.F.N.O.O,C.C.Cl.Cl.Cl.F.O,0.62
759,C.C.Cl.Cl.Cl.F.F,Br.C.C.Cl.Cl.F.O,0.62
760,Br.Br.C.Cl.N.O.O.O,Br.Br.C.Cl.N.N.O.O.O.O,0.99
761,C.C.O,Br.Br.C.C.F,0.81
762,Br.C.C.Cl.Cl.F.F.N.O,C.Cl.Cl.N.N.O,0.67
763,C.C.Cl,Br.C.C.Cl.Cl.F.O,0.77
764,Br.C,C.C.C.Cl.Cl.Cl.N.O,0.67
765,C.O,Br.Br.Br.Br.C.Cl.F,0.91
766,Br.C.C.Cl.F.O,C.C.C.C.N.O.O.O.O,0.77
767,Br.C,Br.C.Cl.F.F.F.F.N.O,0.96
768,C.C,C.Cl.N,0.59
769,C.C.F.F.F.N.N.O,C.Cl.O,0.57
770,Br.Br.C.C.C.Cl.Cl.N.O.O,Br.C.C,0.72
771,Br.C.C.C,Br.C.C.O,0.99
772,C.N,Br.Br.Br.C.C.O,0.84
773,C.C.Cl.F.N.N.O.O.O,C.C.F.F.N.N.O.O,0.77
774,Br.Br.C.Cl.Cl.F.O,Br.C.C.Cl.F,0.69
775,Br.C.C.Cl.Cl.F.N.O,Br.C.C.C.F.F.N.N.O.O,0.54
776,C.C.N,C.O,0.72
777,C.O,Br.C.C.F.N.N.N,0.72
778,C.F,Br.Br.C.Cl.Cl.Cl.Cl.N.N,0.99
779,Br.C.C.Cl.Cl.Cl.Cl.F.F.F,C.C.C.Cl.F.F.F.N,0.91
780,Br.C.C.Cl.Cl.F.F.N,Br.Br.Br.C.Cl.Cl.F.N.N.N,0.95
781,Br.C.C.C.Cl.Cl.N.O,C.C.Cl.F.N.O.O.O.O,0.99
782,Br.C.C,C.C.C.C.Cl.O.O.O,1.0
783,Br.C.Cl.Cl,C.C.Cl.Cl.F.F.F.O,0.77
784,C.C.N.O,Br.C.O,0.94
785,Br.C.Cl.Cl.F.F.O.O,Br.C.Cl.N,0.61
786,Br.C.C.Cl.Cl.Cl.Cl.F.F.O,C.Cl.F.O,0.95
787,Br.C.C.C.F,Br.C,0.82
788,C.Cl.N.N,Br.C,0.86
789,Br.C.C.F.N.N,Br.Br.Br.C.C.O,0.64
790,Br.C.C.Cl.Cl.F.F.N.O.O,C.N.O.O.O,0.86
791,Br.Br.Br.C.C.Cl.Cl.O,C.C.C.C.Cl.N,0.86
792,Br.Br.C.Cl.Cl.N.N.O.O.O,Br.Br.Br.Br.C.Cl.Cl.O,0.53
793,Br.C.C.F.O.O,Br.Br.C.F.N.N,0.59
794,Br.Br.C.F.F.F.N.O,C.F.F.N.N.O.O,0.51
795,Br.C.C.Cl.F.F.N.O.O,C.C.N.O,0.53
796,Br.Br.C.Cl.F.N.N.O,C.Cl,0.67
797,C.Cl,Br.Br.C.C.Cl.Cl.O.O.O,0.94
798,C.C.C.C.N,Br.Br.C.C.C.C.F.F.N.O,0.76
799,Br.C.F.O,C.C.F,0.88
800,Br.C.C.Cl.Cl.Cl.F.F.N.O,C.Cl.Cl.F.N.N.O,0.63
